puisi,title,author,puisi_with_header
"Tiada lagi resah di hatiku 
 Tiada lagi keraguan kini 
 Aku yakin hanyalah dirimu 
 Yang ku sayangi 
 Setiap langkah akupunBerjanji..................... 
 Akan selalau setia bersama 
 Kaulah nafasku 
 Kaulah khayalanku 
 Kaulah damai dalam detak jantungkuOh.............. 
 kasih 
 Peluklah diriku 
 Bisikanlah apa yang kau mauOh.............. 
 kasih 
 Aku tak sanggup lagi 
 Hidup tanpa dirimu 
  
 ",UNTUK KEKASIHKU,Oleh Suzianty Westerveld,"UNTUK KEKASIHKU 
 Oleh Suzianty Westerveld 
  
 Tiada lagi resah di hatiku 
 Tiada lagi keraguan kini 
 Aku yakin hanyalah dirimu 
 Yang ku sayangi 
 Setiap langkah akupunBerjanji..................... 
 Akan selalau setia bersama 
 Kaulah nafasku 
 Kaulah khayalanku 
 Kaulah damai dalam detak jantungkuOh.............. 
 kasih 
 Peluklah diriku 
 Bisikanlah apa yang kau mauOh.............. 
 kasih 
 Aku tak sanggup lagi 
 Hidup tanpa dirimu 
  
 "
"Gemericik senandung luluh merayu hati, 
 Terjamah larutan mensiasati. 
  
 Terus menyabani hingga rengkarnasi. 
 Putih sejuk teramat berarti. 
 Senantiasa menanti keputusan Tuhan kapan ia akan pergi. 
  
 Bila sampai waktu nya, 
 Tetes demi tetes kian mengurai  awan. 
 Gemuruh kilat pelepas ikatan. 
 Melepas hasrat bercinta tak terhelakan, 
 Rayuan pulang tak hiraukan. 
 Merintih seduh sedan tiada guna. 
  
 Hingga hujan mengiklaskan semua 
 Demi senyuman yang menghianatinya, 
 Yang tak terima akan kehadirannya 
 Tanpa menyadari ia pantas untuk jatuh. 
  
 Jambi, 5 Mei 2017 
  
 ",HUJAN,Oleh Muslihin Abdillah,"HUJAN 
 Oleh Muslihin Abdillah 
  
 Gemericik senandung luluh merayu hati, 
 Terjamah larutan mensiasati. 
  
 Terus menyabani hingga rengkarnasi. 
 Putih sejuk teramat berarti. 
 Senantiasa menanti keputusan Tuhan kapan ia akan pergi. 
  
 Bila sampai waktu nya, 
 Tetes demi tetes kian mengurai  awan. 
 Gemuruh kilat pelepas ikatan. 
 Melepas hasrat bercinta tak terhelakan, 
 Rayuan pulang tak hiraukan. 
 Merintih seduh sedan tiada guna. 
  
 Hingga hujan mengiklaskan semua 
 Demi senyuman yang menghianatinya, 
 Yang tak terima akan kehadirannya 
 Tanpa menyadari ia pantas untuk jatuh. 
  
 Jambi, 5 Mei 2017 
  
 "
"Kau adalah separuh hidup ku 
 Hanya kepadamu aku berbagi 
 Kaulah yang mengajariku atri seorang sahabat 
 Kau selalu ada untukku 
 Saat aku sedih kau hadir menghiburku 
 Saat aku menangis kau menghapuskan air mataku 
 Saat aku terjatuh kau membantuku untuk bangkit 
 Kau genggam kedua tanganku saat aku merasa takut 
 Kaulah yang sangat berarti dalam hidupku 
 Kau tak kan pernah terlupakan 
 Kaulah sahabat pertamaku 
 Senyumanmu yang kan selalu menghiasi hari-harikuSELAMANYAA... 
 Kaulah Diana 
  
 ",KAU,Oleh Nur Rahma Utami,"KAU 
 Oleh Nur Rahma Utami 
 Kau adalah separuh hidup ku 
 Hanya kepadamu aku berbagi 
 Kaulah yang mengajariku atri seorang sahabat 
 Kau selalu ada untukku 
 Saat aku sedih kau hadir menghiburku 
 Saat aku menangis kau menghapuskan air mataku 
 Saat aku terjatuh kau membantuku untuk bangkit 
 Kau genggam kedua tanganku saat aku merasa takut 
 Kaulah yang sangat berarti dalam hidupku 
 Kau tak kan pernah terlupakan 
 Kaulah sahabat pertamaku 
 Senyumanmu yang kan selalu menghiasi hari-harikuSELAMANYAA... 
 Kaulah Diana 
  
 "
"Mungkin kau membiarkan aku 
 Membiarkan perasaan ini larut 
 Memberi ruang jiwaku hampa 
 Agar tetap terbiasa nikmati 
  
 Perangkap yang kau buat 
 Perisai yang kau banggakan 
 Takkan jadi tameng bagimu 
 Aku mengerti betapa hebatnya 
  
 Perangkap mu hei sang dewi 
 Ku akan terus merasa terbiasa 
 Dengan pesona indahmu 
 Ku masih akan nikmati hadirmu 
  
 Berjalanlah pada hati yang sama 
 Satu hati denganku 
 Walau ku terperangkap 
 Namunku nikmati dan jalani 
  
 ",TEPERANGKAP,Oleh Mangku Langit Jingga,"TEPERANGKAP 
 Oleh Mangku Langit Jingga 
  
 Mungkin kau membiarkan aku 
 Membiarkan perasaan ini larut 
 Memberi ruang jiwaku hampa 
 Agar tetap terbiasa nikmati 
  
 Perangkap yang kau buat 
 Perisai yang kau banggakan 
 Takkan jadi tameng bagimu 
 Aku mengerti betapa hebatnya 
  
 Perangkap mu hei sang dewi 
 Ku akan terus merasa terbiasa 
 Dengan pesona indahmu 
 Ku masih akan nikmati hadirmu 
  
 Berjalanlah pada hati yang sama 
 Satu hati denganku 
 Walau ku terperangkap 
 Namunku nikmati dan jalani 
  
 "
"Ibu.. 
 Kau adalah mutiara hatiku 
 Mutiara yang akan selamanya bersinar 
 Bersinar secerah sang mentari pagi 
 Ya Rabbi.. 
 Jangan Engkau pisahkan 
 Antara aku,Ibuku 
 Ya Rabbi 
 Aku sungguh menyayanginya 
 Sayang sepanjang zaman Zaman yang tak terhitungkan Dia telah bersusah payah melahirkanku 
 Tanpa ku sadari aku telah sering menyakiti 
 Menyakiti hati ibuku 
 Ibuku yang sangat menyayangiku Oh ibu.... 
 Maafkan aku 
 Disetiap khilafku 
 Khilafku kepadamu Ibu.. 
 Andai kau tahu ibu.. 
 Betapa aku sangat sayang padamu 
 Sayang lahir dan batinku 
 Hingga akhir waktuku 
 Ibu, jika di perkenankan 
 Aku ingin membalas itu 
 Segala yang kau berikan 
 Kau berikan padaku selama ini 
 Sungguh ibu.. 
 Aku ingin selalu bersamamu 
 Disisa usiaku 
 Ingin tetap bersamamuIbu...Kasihmu... 
 Tak akan ada Yang bisa menggantikannyaIbu.. 
 Doa terakhirkuya Tuhan..Lindungilah 
 Lindungilah di setiap langkah ibu 
 Ibu yang ku sayang 
 Ibu yang tak tergantikan 
 Ibu yang tak terduakan... 
 Terimakasih Ibu 
 Aku menyayangmu 
 Hingga tutup usiaku 
 Bahkan hingga aku hidup lagi ibu.. 
  
 ",IBU,Oleh Dedeh Kurnia Afrianti,"IBU 
 Oleh Dedeh Kurnia Afrianti 
  
 Ibu.. 
 Kau adalah mutiara hatiku 
 Mutiara yang akan selamanya bersinar 
 Bersinar secerah sang mentari pagi 
 Ya Rabbi.. 
 Jangan Engkau pisahkan 
 Antara aku,Ibuku 
 Ya Rabbi 
 Aku sungguh menyayanginya 
 Sayang sepanjang zaman Zaman yang tak terhitungkan Dia telah bersusah payah melahirkanku 
 Tanpa ku sadari aku telah sering menyakiti 
 Menyakiti hati ibuku 
 Ibuku yang sangat menyayangiku Oh ibu.... 
 Maafkan aku 
 Disetiap khilafku 
 Khilafku kepadamu Ibu.. 
 Andai kau tahu ibu.. 
 Betapa aku sangat sayang padamu 
 Sayang lahir dan batinku 
 Hingga akhir waktuku 
 Ibu, jika di perkenankan 
 Aku ingin membalas itu 
 Segala yang kau berikan 
 Kau berikan padaku selama ini 
 Sungguh ibu.. 
 Aku ingin selalu bersamamu 
 Disisa usiaku 
 Ingin tetap bersamamuIbu...Kasihmu... 
 Tak akan ada Yang bisa menggantikannyaIbu.. 
 Doa terakhirkuya Tuhan..Lindungilah 
 Lindungilah di setiap langkah ibu 
 Ibu yang ku sayang 
 Ibu yang tak tergantikan 
 Ibu yang tak terduakan... 
 Terimakasih Ibu 
 Aku menyayangmu 
 Hingga tutup usiaku 
 Bahkan hingga aku hidup lagi ibu.. 
  
 "
"Di jalan setapak yang kita tempuh dahulumasih berbekas tapak jejaknyasehingga dapat kutelusuri kembali jalan itujalan tempat kita bersua, menjalin persahabatan 
 Rentang waktu yang panjang, masa pun silamada masa gelap menutup kita, tiada kabar beritamembuatku tak tahu dimana kini kau beradahanya jalan itu yang membuatku jadi teringat kembali 
 Pada cerita yang tertulis dalam kisah masa lalupersahabatan itu tertanam bagai sejumput ilalangseiring waktu ia patah tumbuh hilang bergantiakarnya yang tertanam di dalam tanah, terus hidup 
 Di jalan setapak yang kita tempuh dahulumasih tersebar ilalang di kiri-kanan jalansehingga aku melihat kembali ke jantung jiwakubetapa persahabatan itu tak punah oleh waktu! 
  
 ",JALAN SETAPAK,Oleh Beni Guntarman,"JALAN SETAPAK 
 Oleh Beni Guntarman 
  
 Di jalan setapak yang kita tempuh dahulumasih berbekas tapak jejaknyasehingga dapat kutelusuri kembali jalan itujalan tempat kita bersua, menjalin persahabatan 
 Rentang waktu yang panjang, masa pun silamada masa gelap menutup kita, tiada kabar beritamembuatku tak tahu dimana kini kau beradahanya jalan itu yang membuatku jadi teringat kembali 
 Pada cerita yang tertulis dalam kisah masa lalupersahabatan itu tertanam bagai sejumput ilalangseiring waktu ia patah tumbuh hilang bergantiakarnya yang tertanam di dalam tanah, terus hidup 
 Di jalan setapak yang kita tempuh dahulumasih tersebar ilalang di kiri-kanan jalansehingga aku melihat kembali ke jantung jiwakubetapa persahabatan itu tak punah oleh waktu! 
  
 "
"Berpisah dengan mu 
 Terasa berat bagi ku 
 Jika kau bertanya apa ku mencintai mu 
 Sungguh besar rasa cinta ini 
 Tapi kau harus relakan ku pergi 
 Karna jarak yang memisahkan kita 
 Karena ku takkam parnah kembali padamu 
 Yakinkan hatimu pada Tuhan 
 Semoga waktu yang akan menyatukan kita kembali 
 Maafkan ku tak setia pada mu 
 Karna ku hanya ingin sebuah kasih sayang 
 Tak mungkin ku mendapatkan kasih sayang dari mu 
 Aku lebih memilih orang lain 
 Yang mampu menjaga ku disini 
 Lupakan aku....... 
 Carilah yang mampu setia padamu 
  
 ",JARAK CINTA,Oleh Lina Retno Sari,"JARAK CINTA 
 Oleh Lina Retno Sari 
  
 Berpisah dengan mu 
 Terasa berat bagi ku 
 Jika kau bertanya apa ku mencintai mu 
 Sungguh besar rasa cinta ini 
 Tapi kau harus relakan ku pergi 
 Karna jarak yang memisahkan kita 
 Karena ku takkam parnah kembali padamu 
 Yakinkan hatimu pada Tuhan 
 Semoga waktu yang akan menyatukan kita kembali 
 Maafkan ku tak setia pada mu 
 Karna ku hanya ingin sebuah kasih sayang 
 Tak mungkin ku mendapatkan kasih sayang dari mu 
 Aku lebih memilih orang lain 
 Yang mampu menjaga ku disini 
 Lupakan aku....... 
 Carilah yang mampu setia padamu 
  
 "
"Kini semua telah sirna 
 Hanya tinggalah sebuah cerita 
 Tak ada lagi rasa cinta 
 Yang tercipta diantara kita 
 Kini kau telah berbeda 
 Saat kau buat aku terluka 
 Dengan caramu kau hancurkan semua 
 Mimpi-mimpi yang ku rangkai sempurna 
 Pergi saja dari hidupku 
 Jangan kembali bila tak mau 
 Ku tak ingin kau terpaksa 
 Tuk mencintai dan menyayangiku 
 Tinggalkanlah saja aku Biarkanlah semua berlalu 
 Jangan kau sesali kepergianku 
 Bila kau rasakan kebahagiaan di hidupmu 
 Dimanakah hatimu sadarkah kau sakiti aku 
 Dimanakah nuranimu sadarkah kau membunuhku 
  
 ",BIARKAN BERLALU,Oleh Chaniandry,"BIARKAN BERLALU 
 Oleh Chaniandry 
  
 Kini semua telah sirna 
 Hanya tinggalah sebuah cerita 
 Tak ada lagi rasa cinta 
 Yang tercipta diantara kita 
 Kini kau telah berbeda 
 Saat kau buat aku terluka 
 Dengan caramu kau hancurkan semua 
 Mimpi-mimpi yang ku rangkai sempurna 
 Pergi saja dari hidupku 
 Jangan kembali bila tak mau 
 Ku tak ingin kau terpaksa 
 Tuk mencintai dan menyayangiku 
 Tinggalkanlah saja aku Biarkanlah semua berlalu 
 Jangan kau sesali kepergianku 
 Bila kau rasakan kebahagiaan di hidupmu 
 Dimanakah hatimu sadarkah kau sakiti aku 
 Dimanakah nuranimu sadarkah kau membunuhku 
  
 "
"Mendengar namamu, kata apa yang bisa kukatakan untuk menjelaskan betapa mulianya dirimu? 
 Kata berbahasa dan bersyair tingkat internasionalpun tak kan bisa menjelaskan makna dirimu 
 Ibu, iya ibu 
 Apa yang tidak kau berikan untuk nafas putra dan putrimu? 
 Yang memberi tanpa mengharap apapun balasan 
 Yang melakukan semua bukan karena materi atau kekuasaan, bukan politik bukan kegemilangan 
 Hanya senyuman diraut wajahmu nak . itulah yang ia harapkan 
 Ibu bagaikan mata, yang ketika lutut terluka ia menangis walau bukan dia yang tergores 
 Yang merasakan meskipun tak mengalami 
 Yang tak bisa tidur ketika putra putrinya belum pulas dalam tidurnya 
 Yang tak kan makan seblum keluarganya bisa tidur dengan kenyang. 
 Yang tak bisa duduk ketika putra putrinya belum datang dari perjalanan. 
 Kata apa lagi? Sebanyak dan sebagus syair duniapun tak kan bisa menggambarkan betapa tulus, mulia hati dan raganya 
 Ibu, doakan putrimu karena doamu adalah nafas terbesar dalam hidupku 
  
 ",IBU,Oleh Lailatul maghfiro,"IBU 
 Oleh Lailatul maghfiro 
  
 Mendengar namamu, kata apa yang bisa kukatakan untuk menjelaskan betapa mulianya dirimu? 
 Kata berbahasa dan bersyair tingkat internasionalpun tak kan bisa menjelaskan makna dirimu 
 Ibu, iya ibu 
 Apa yang tidak kau berikan untuk nafas putra dan putrimu? 
 Yang memberi tanpa mengharap apapun balasan 
 Yang melakukan semua bukan karena materi atau kekuasaan, bukan politik bukan kegemilangan 
 Hanya senyuman diraut wajahmu nak . itulah yang ia harapkan 
 Ibu bagaikan mata, yang ketika lutut terluka ia menangis walau bukan dia yang tergores 
 Yang merasakan meskipun tak mengalami 
 Yang tak bisa tidur ketika putra putrinya belum pulas dalam tidurnya 
 Yang tak kan makan seblum keluarganya bisa tidur dengan kenyang. 
 Yang tak bisa duduk ketika putra putrinya belum datang dari perjalanan. 
 Kata apa lagi? Sebanyak dan sebagus syair duniapun tak kan bisa menggambarkan betapa tulus, mulia hati dan raganya 
 Ibu, doakan putrimu karena doamu adalah nafas terbesar dalam hidupku 
  
 "
"Hai sahabat... 
 Apa kabarnya kamu disana. 
 Aku rindu sahabat. 
 Rindu akan semua kenangan yang tlah terukir. 
 Rindu akan semua canda tawa yang tlah tercipta. 
 Apa kamu juga merindukanku disana sahabat? 
 Sahabat... 
 Walau kita terbentang oleh jarak. 
 Walau kita terikat oleh waktu. 
 Kita tetap akan menjadi sahabat. 
 Sahabat yang kan slalu menyinari. 
 Sahabat yang kan slalu mewarnai. 
 Sahabat yang kan slalu mengisi. 
 Karna kita adalah sahabat. 
 Aku sahabatmu. 
 Dan kamu sahabatku. 
  
 ",TETAP SAHABAT,Oleh Khotimatul Khusna,"TETAP SAHABAT 
 Oleh Khotimatul Khusna 
  
 Hai sahabat... 
 Apa kabarnya kamu disana. 
 Aku rindu sahabat. 
 Rindu akan semua kenangan yang tlah terukir. 
 Rindu akan semua canda tawa yang tlah tercipta. 
 Apa kamu juga merindukanku disana sahabat? 
 Sahabat... 
 Walau kita terbentang oleh jarak. 
 Walau kita terikat oleh waktu. 
 Kita tetap akan menjadi sahabat. 
 Sahabat yang kan slalu menyinari. 
 Sahabat yang kan slalu mewarnai. 
 Sahabat yang kan slalu mengisi. 
 Karna kita adalah sahabat. 
 Aku sahabatmu. 
 Dan kamu sahabatku. 
  
 "
